1222627

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       3.02
2                       2.93
4                       2.84
8                       2.87
16                      3.28
32                      5.64
64                      5.67
128                     5.90
256                     5.98
512                     6.62
1024                    7.54
2048                    9.64
4096                   14.20
8192                   24.72
16384                  94.52
32768                  77.39
65536                 145.22
131072                284.29
262144                633.53
