1193261

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       3.07
2                       2.94
4                       2.88
8                       2.89
16                      3.29
32                      5.56
64                      5.64
128                     5.83
256                     5.93
512                     6.75
1024                    7.58
2048                    9.54
4096                   14.19
8192                   24.83
16384                  92.62
32768                  76.99
65536                 139.78
131072                263.54
262144                590.33
