1188411

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       2.99
2                       2.97
4                       2.91
8                       2.87
16                      3.25
32                      5.38
64                      5.44
128                     5.76
256                     5.87
512                     6.57
1024                    7.34
2048                    9.54
4096                   13.91
8192                   24.61
16384                  94.51
32768                  76.18
65536                 138.75
131072                264.33
262144                592.14
