1204527

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       3.00
2                       2.92
4                       2.84
8                       2.87
16                      3.25
32                      5.55
64                      5.59
128                     5.81
256                     5.94
512                     6.68
1024                    7.53
2048                    9.60
4096                   14.01
8192                   24.65
16384                  94.61
32768                  76.71
65536                 139.10
131072                267.28
262144                598.29
