1196482

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       3.01
2                       2.89
4                       2.77
8                       2.79
16                      3.22
32                      5.40
64                      5.45
128                     5.84
256                     5.93
512                     6.48
1024                    7.50
2048                    9.45
4096                   13.95
8192                   24.70
16384                  94.50
32768                  76.30
65536                 138.50
131072                263.43
262144                588.68
