1202920

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       3.05
2                       2.90
4                       2.83
8                       2.86
16                      3.24
32                      5.45
64                      5.55
128                     5.84
256                     5.94
512                     6.57
1024                    7.57
2048                    9.63
4096                   14.11
8192                   24.80
16384                  94.37
32768                  76.83
65536                 139.99
131072                267.74
262144                596.48
