1191643

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       3.05
2                       2.95
4                       2.89
8                       2.92
16                      3.34
32                      5.49
64                      5.46
128                     5.84
256                     5.98
512                     6.64
1024                    7.52
2048                    9.51
4096                   14.14
8192                   24.85
16384                  94.53
32768                  76.66
65536                 138.80
131072                264.98
262144                584.48
