1206134

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       2.98
2                       2.90
4                       2.83
8                       2.86
16                      3.22
32                      5.51
64                      5.58
128                     5.94
256                     5.94
512                     6.83
1024                    7.64
2048                    9.59
4096                   14.24
8192                   24.81
16384                  93.83
32768                  76.98
65536                 138.87
131072                266.08
262144                571.82
