1215843

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       3.00
2                       2.98
4                       2.86
8                       2.86
16                      3.26
32                      5.59
64                      5.61
128                     5.82
256                     5.92
512                     6.76
1024                    7.63
2048                    9.74
4096                   14.32
8192                   24.88
16384                  94.79
32768                  77.04
65536                 159.33
131072                329.84
262144                704.63
