1185195

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       2.96
2                       2.96
4                       2.87
8                       2.87
16                      3.28
32                      5.52
64                      5.56
128                     5.74
256                     5.84
512                     6.57
1024                    7.47
2048                    9.45
4096                   13.98
8192                   24.59
16384                  94.56
32768                  76.33
65536                 141.14
131072                285.84
262144                600.56
