1210984

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       3.07
2                       2.96
4                       2.91
8                       2.88
16                      3.29
32                      5.63
64                      5.64
128                     5.81
256                     5.93
512                     6.66
1024                    7.76
2048                    9.64
4096                   14.42
8192                   24.94
16384                  94.52
32768                  76.97
65536                 155.02
131072                339.10
262144                643.33
