1199694

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       3.04
2                       2.95
4                       2.83
8                       2.86
16                      3.27
32                      5.45
64                      5.44
128                     5.96
256                     6.10
512                     6.84
1024                    7.76
2048                    9.82
4096                   14.22
8192                   24.96
16384                  95.49
32768                  76.71
65536                 139.19
131072                267.18
262144                590.28
