1194870

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       3.01
2                       2.88
4                       2.81
8                       2.78
16                      3.18
32                      5.34
64                      5.37
128                     5.83
256                     5.86
512                     6.49
1024                    7.49
2048                    9.49
4096                   14.08
8192                   24.47
16384                  94.04
32768                  76.03
65536                 136.84
131072                264.49
262144                592.70
