3096798

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.71
2                       1.72
4                       1.71
8                       1.71
16                      1.98
32                      1.98
64                      1.99
128                     2.60
256                     2.61
512                     2.78
1024                    2.88
2048                    3.11
4096                    3.78
8192                    4.90
16384                   6.03
32768                   8.32
65536                  12.37
131072                 20.10
262144                 38.74
524288                 69.94
1048576               135.08
2097152               267.27
4194304               589.31
