3097290

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.72
2                       1.71
4                       1.71
8                       1.70
16                      1.97
32                      1.98
64                      1.99
128                     2.61
256                     2.61
512                     2.78
1024                    2.89
2048                    3.11
4096                    3.76
8192                    4.89
16384                   6.00
32768                   8.30
65536                  12.32
131072                 19.96
262144                 38.82
524288                 69.92
1048576               134.27
2097152               265.80
4194304               588.26
