3096938

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.73
2                       1.74
4                       1.73
8                       1.73
16                      2.00
32                      2.00
64                      2.02
128                     2.63
256                     2.62
512                     2.79
1024                    2.88
2048                    3.12
4096                    3.77
8192                    4.89
16384                   6.02
32768                   8.27
65536                  12.33
131072                 20.05
262144                 38.83
524288                 70.06
1048576               135.79
2097152               270.09
4194304               588.12
