3097501

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.73
2                       1.73
4                       1.72
8                       1.72
16                      1.99
32                      2.00
64                      2.01
128                     2.62
256                     2.63
512                     2.80
1024                    2.89
2048                    3.12
4096                    3.78
8192                    4.89
16384                   6.05
32768                   8.37
65536                  12.45
131072                 20.32
262144                 38.99
524288                 70.04
1048576               134.05
2097152               266.46
4194304               592.04
