3096433

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.76
2                       1.74
4                       1.74
8                       1.74
16                      2.01
32                      2.02
64                      2.03
128                     2.64
256                     2.66
512                     2.81
1024                    2.91
2048                    3.14
4096                    3.79
8192                    4.94
16384                   6.12
32768                   8.43
65536                  12.60
131072                 20.54
262144                 39.85
524288                 71.73
1048576               138.81
2097152               277.30
4194304               608.11
