3096286

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.75
2                       1.75
4                       1.74
8                       1.73
16                      2.01
32                      2.01
64                      2.03
128                     2.64
256                     2.65
512                     2.79
1024                    2.89
2048                    3.12
4096                    3.77
8192                    4.90
16384                   6.06
32768                   8.33
65536                  12.44
131072                 20.37
262144                 39.27
524288                 70.32
1048576               135.56
2097152               269.58
4194304               596.30
