3097713

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.73
2                       1.73
4                       1.73
8                       1.72
16                      2.00
32                      2.01
64                      2.01
128                     2.63
256                     2.63
512                     2.79
1024                    2.89
2048                    3.12
4096                    3.80
8192                    4.88
16384                   6.00
32768                   8.28
65536                  12.39
131072                 20.07
262144                 38.87
524288                 69.87
1048576               133.01
2097152               268.75
4194304               600.83
