3097009

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.73
2                       1.73
4                       1.73
8                       1.72
16                      2.00
32                      2.00
64                      2.02
128                     2.62
256                     2.63
512                     2.79
1024                    2.88
2048                    3.11
4096                    3.80
8192                    4.87
16384                   6.00
32768                   8.28
65536                  12.35
131072                 20.02
262144                 38.59
524288                 69.76
1048576               132.72
2097152               266.60
4194304               586.16
