3097079

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.72
2                       1.73
4                       1.71
8                       1.72
16                      1.99
32                      2.01
64                      2.02
128                     2.62
256                     2.63
512                     2.79
1024                    2.89
2048                    3.13
4096                    3.81
8192                    4.89
16384                   6.06
32768                   8.34
65536                  12.51
131072                 20.38
262144                 39.29
524288                 70.84
1048576               135.98
2097152               270.59
4194304               586.64
