3097430

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.73
2                       1.72
4                       1.72
8                       1.71
16                      1.99
32                      2.00
64                      2.02
128                     2.62
256                     2.64
512                     2.79
1024                    2.87
2048                    3.11
4096                    3.78
8192                    4.87
16384                   6.01
32768                   8.28
65536                  12.30
131072                 19.91
262144                 38.50
524288                 69.34
1048576               134.08
2097152               266.08
4194304               599.83
