3097362

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.72
2                       1.72
4                       1.72
8                       1.71
16                      1.97
32                      1.98
64                      1.99
128                     2.59
256                     2.61
512                     2.76
1024                    2.87
2048                    3.11
4096                    3.78
8192                    4.87
16384                   6.00
32768                   8.22
65536                  12.29
131072                 20.01
262144                 38.74
524288                 69.16
1048576               134.96
2097152               268.44
4194304               578.73
