3097784

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.72
2                       1.73
4                       1.72
8                       1.71
16                      2.00
32                      2.00
64                      2.01
128                     2.63
256                     2.63
512                     2.79
1024                    2.89
2048                    3.12
4096                    3.77
8192                    4.88
16384                   5.99
32768                   8.31
65536                  12.37
131072                 20.07
262144                 39.05
524288                 70.07
1048576               135.15
2097152               268.86
4194304               593.45
