3096646

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.75
2                       1.75
4                       1.74
8                       1.74
16                      2.01
32                      2.01
64                      2.03
128                     2.64
256                     2.65
512                     2.81
1024                    2.91
2048                    3.15
4096                    3.85
8192                    4.93
16384                   6.10
32768                   8.43
65536                  12.65
131072                 20.67
262144                 39.95
524288                 71.45
1048576               138.66
2097152               275.17
4194304               601.81
