3096573

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.75
2                       1.73
4                       1.73
8                       1.73
16                      2.00
32                      2.01
64                      2.02
128                     2.62
256                     2.64
512                     2.79
1024                    2.89
2048                    3.12
4096                    3.81
8192                    4.92
16384                   6.09
32768                   8.42
65536                  12.63
131072                 20.61
262144                 40.07
524288                 72.02
1048576               138.58
2097152               273.07
4194304               606.89
