3097642

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.72
2                       1.72
4                       1.71
8                       1.72
16                      1.99
32                      1.99
64                      2.01
128                     2.61
256                     2.63
512                     2.78
1024                    2.88
2048                    3.10
4096                    3.78
8192                    4.89
16384                   6.00
32768                   8.29
65536                  12.30
131072                 19.91
262144                 38.50
524288                 69.12
1048576               132.53
2097152               263.86
4194304               593.10
