3097573

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.75
2                       1.74
4                       1.74
8                       1.73
16                      2.02
32                      2.02
64                      2.03
128                     2.64
256                     2.66
512                     2.81
1024                    2.90
2048                    3.14
4096                    3.78
8192                    4.92
16384                   6.03
32768                   8.32
65536                  12.39
131072                 20.12
262144                 38.48
524288                 69.08
1048576               132.50
2097152               265.49
4194304               608.13
