3096213

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.73
2                       1.73
4                       1.72
8                       1.73
16                      2.01
32                      2.01
64                      2.02
128                     2.63
256                     2.64
512                     2.81
1024                    2.90
2048                    3.14
4096                    3.82
8192                    4.93
16384                   6.13
32768                   8.46
65536                  12.63
131072                 20.53
262144                 39.70
524288                 72.04
1048576               138.29
2097152               275.38
4194304               603.61
