
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.38
2                       2.34
4                       2.32
8                       2.35
16                      2.34
32                      2.34
64                      2.34
128                     2.37
256                     3.06
512                     3.09
1024                    3.18
2048                    3.40
4096                    3.56
8192                    3.98
16384                   4.81
32768                   9.23
65536                  15.97
131072                 22.88
262144                 36.70
