
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.38
2                       2.36
4                       2.33
8                       2.34
16                      2.34
32                      2.34
64                      2.35
128                     2.37
256                     3.07
512                     3.11
1024                    3.21
2048                    3.37
4096                    3.53
8192                    3.96
16384                   4.79
32768                   9.22
65536                  15.95
131072                 22.85
262144                 36.66
