
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.56
2                       2.41
4                       2.34
8                       2.36
16                      2.34
32                      2.34
64                      2.35
128                     2.38
256                     3.08
512                     3.12
1024                    3.21
2048                    3.38
4096                    3.54
8192                    3.98
16384                   4.79
32768                   9.26
65536                  15.98
131072                 22.85
262144                 36.68
