
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.34
2                       2.31
4                       2.28
8                       2.31
16                      2.31
32                      2.30
64                      2.30
128                     2.37
256                     3.03
512                     3.06
1024                    3.15
2048                    3.32
4096                    3.46
8192                    3.91
16384                   4.71
32768                   9.22
65536                  15.63
131072                 22.51
262144                 36.32
