
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.39
2                       2.36
4                       2.34
8                       2.35
16                      2.34
32                      2.33
64                      2.35
128                     2.38
256                     3.06
512                     3.10
1024                    3.21
2048                    3.34
4096                    3.51
8192                    3.97
16384                   4.77
32768                   9.23
65536                  15.94
131072                 22.84
262144                 36.66
