
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.38
2                       2.37
4                       2.34
8                       2.35
16                      2.35
32                      2.34
64                      2.36
128                     2.39
256                     3.08
512                     3.10
1024                    3.20
2048                    3.35
4096                    3.52
8192                    3.96
16384                   4.79
32768                   9.24
65536                  15.95
131072                 22.86
262144                 36.67
