
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.60
2                       2.35
4                       2.39
8                       2.35
16                      2.33
32                      2.34
64                      2.33
128                     2.36
256                     3.06
512                     3.09
1024                    3.18
2048                    3.35
4096                    3.53
8192                    3.97
16384                   4.76
32768                   9.22
65536                  15.92
131072                 22.84
262144                 36.63
