
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.39
2                       2.35
4                       2.34
8                       2.35
16                      2.34
32                      2.34
64                      2.35
128                     2.39
256                     3.07
512                     3.10
1024                    3.18
2048                    3.36
4096                    3.54
8192                    3.99
16384                   4.79
32768                   9.26
65536                  15.93
131072                 22.85
262144                 36.68
