
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.38
2                       2.35
4                       2.34
8                       2.35
16                      2.33
32                      2.35
64                      2.35
128                     2.38
256                     3.07
512                     3.12
1024                    3.19
2048                    3.35
4096                    3.53
8192                    3.99
16384                   4.82
32768                   9.25
65536                  15.96
131072                 22.86
262144                 36.65
