4161135

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       2.74              1.64              1.19              7.78
2                       2.67              1.58              1.17              7.46
4                       2.66              1.58              1.17              7.89
8                       2.68              1.59              1.17              7.69
16                      2.71              1.60              1.17              4.90
32                      2.90              1.75              1.29             11.72
64                      2.89              1.74              1.29             11.33
128                     3.05              1.89              1.33             12.76
256                     3.07              1.89              1.42             17.27
512                     3.12              1.89              1.47             16.57
1024                    3.48              2.20              1.65             22.60
2048                    4.09              2.59              2.04             26.57
4096                    5.02              3.28              2.70             35.20
8192                    7.92              5.27              4.50             41.10
16384                  13.53              8.47              7.73             34.52
32768                  49.37             20.99             19.32              0.00
65536                  70.85             30.26             28.10              0.00
131072                113.04             48.96             45.72              0.00
262144                189.43             86.83             81.44              0.00
