4157198

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       2.74              1.65              1.27             13.49
2                       2.71              1.60              1.28             13.58
4                       2.71              1.60              1.25             11.36
8                       2.70              1.60              1.25             11.54
16                      2.73              1.60              1.26             10.56
32                      3.15              1.92              1.42             13.09
64                      3.15              1.92              1.41             12.48
128                     3.16              1.92              1.45             13.87
256                     3.18              1.92              1.51             16.43
512                     3.33              2.08              1.63             22.69
1024                    3.55              2.21              1.80             25.79
2048                    4.25              2.68              2.18             27.82
4096                    5.08              3.28              2.84             36.62
8192                    8.05              5.32              4.60             40.58
16384                  14.10              8.94              7.93             34.88
32768                  49.21             21.02             19.34              0.00
65536                  70.38             29.56             27.55              0.00
131072                112.97             48.40             45.35              0.00
262144                188.74             86.20             80.94              0.00
