4163584

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       2.71              1.64              1.18              9.60
2                       2.72              1.64              1.17              8.75
4                       2.71              1.64              1.19              9.60
8                       2.66              1.59              1.19             10.25
16                      2.67              1.60              1.17              8.31
32                      3.08              1.91              1.36             14.47
64                      3.10              1.91              1.36             12.78
128                     3.09              1.91              1.39             14.80
256                     3.12              1.91              1.45             16.71
512                     3.17              1.91              1.54             18.43
1024                    3.67              2.38              1.82             29.16
2048                    4.15              2.69              2.10             30.48
4096                    5.05              3.31              2.77             36.80
8192                    7.94              5.32              4.65             43.61
16384                  13.82              8.74              7.90             35.82
32768                  48.92             20.90             19.45              0.00
65536                  70.77             30.10             27.88              0.00
131072                113.25             48.89             45.68              0.00
262144                188.94             86.76             81.43              0.00
