4162100

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       2.74              1.63              1.21              8.86
2                       2.75              1.63              1.21              7.84
4                       2.79              1.65              1.21              5.72
8                       2.69              1.59              1.21              8.92
16                      2.71              1.60              1.21              8.33
32                      3.12              1.92              1.38             13.68
64                      3.09              1.90              1.40             14.26
128                     3.11              1.89              1.42             14.10
256                     3.14              1.89              1.48             15.92
512                     3.24              1.91              1.56             14.84
1024                    3.54              2.21              1.75             24.01
2048                    4.19              2.69              2.13             29.72
4096                    5.11              3.29              2.79             34.98
8192                    7.92              5.27              4.59             42.30
16384                  14.11              8.92              7.91             34.47
32768                  49.18             20.98             19.50              0.00
65536                  71.00             30.11             28.06              0.00
131072                112.66             48.46             45.30              0.00
262144                189.00             86.37             81.08              0.00
