4161790

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       2.74              1.64              1.28             13.31
2                       2.75              1.63              1.23              9.19
4                       2.72              1.61              1.25             11.44
8                       2.99              1.87              1.31             14.53
16                      2.69              1.58              1.25             11.67
32                      3.11              1.89              1.41             13.61
64                      3.19              1.90              1.42              8.92
128                     3.13              1.89              1.45             14.83
256                     3.15              1.89              1.51             16.82
512                     3.30              2.05              1.60             21.95
1024                    3.55              2.22              1.84             27.63
2048                    4.18              2.66              2.16             30.19
4096                    5.07              3.28              2.81             36.26
8192                    7.94              5.26              4.67             42.81
16384                  13.89              8.77              7.80             34.28
32768                  49.48             21.43             19.79              0.00
65536                  71.49             30.43             28.31              0.00
131072                112.64             48.79             45.61              0.00
262144                190.03             86.66             81.32              0.00
