4162846

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       2.76              1.60              1.24              6.03
2                       2.69              1.58              1.24             10.42
4                       2.69              1.58              1.23             10.46
8                       2.70              1.60              1.24             10.97
16                      2.69              1.58              1.29             14.56
32                      3.08              1.89              1.39             14.30
64                      3.09              1.89              1.40             14.66
128                     3.15              1.90              1.43             12.54
256                     3.13              1.89              1.49             16.74
512                     3.29              2.05              1.58             21.91
1024                    3.51              2.21              1.75             25.40
2048                    4.15              2.67              2.21             32.50
4096                    5.05              3.28              2.81             36.77
8192                    7.96              5.27              4.66             42.22
16384                  13.85              8.78              7.81             35.15
32768                  49.28             21.06             19.55              0.00
65536                  70.95             30.20             28.09              0.00
131072                113.02             48.96             45.75              0.00
262144                189.57             86.57             81.21              0.00
