1194334

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       2.98
2                       2.88
4                       2.88
8                       2.95
16                      3.26
32                      5.54
64                      5.59
128                     5.71
256                     5.79
512                     6.93
1024                    7.69
2048                    9.67
4096                   14.18
8192                   24.69
16384                  95.21
32768                  76.95
65536                 139.61
131072                265.34
262144                591.60
