1199153

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       3.02
2                       2.93
4                       2.87
8                       2.94
16                      3.30
32                      5.66
64                      5.69
128                     5.77
256                     5.84
512                     6.62
1024                    7.57
2048                    9.67
4096                   14.22
8192                   24.78
16384                  96.13
32768                  77.44
65536                 140.60
131072                266.89
262144                588.05
