1216926

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       3.02
2                       2.89
4                       2.83
8                       2.86
16                      3.27
32                      5.71
64                      5.73
128                     5.83
256                     5.94
512                     6.80
1024                    7.64
2048                    9.66
4096                   14.09
8192                   24.86
16384                  94.05
32768                  77.57
65536                 143.85
131072                287.82
262144                627.54
