1208825

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       2.97
2                       2.90
4                       2.86
8                       2.88
16                      3.19
32                      5.45
64                      5.49
128                     5.78
256                     5.75
512                     6.52
1024                    7.51
2048                    9.48
4096                   14.05
8192                   24.59
16384                  94.01
32768                  76.17
65536                 141.51
131072                286.03
262144                636.82
