1218536

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       2.99
2                       2.98
4                       2.90
8                       2.92
16                      3.29
32                      5.45
64                      5.51
128                     5.77
256                     5.82
512                     6.83
1024                    7.76
2048                    9.77
4096                   14.28
8192                   24.84
16384                  94.56
32768                  77.62
65536                 142.12
131072                274.81
262144                610.90
