1200773

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       3.03
2                       2.96
4                       2.90
8                       2.90
16                      3.34
32                      5.60
64                      5.63
128                     5.78
256                     5.88
512                     6.60
1024                    7.42
2048                    9.58
4096                   14.09
8192                   24.66
16384                  96.22
32768                  76.94
65536                 139.70
131072                266.92
262144                598.84
