1213694

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       3.01
2                       2.92
4                       2.88
8                       2.93
16                      3.31
32                      5.52
64                      5.56
128                     5.77
256                     5.81
512                     6.63
1024                    7.62
2048                    9.65
4096                   14.20
8192                   24.53
16384                  95.33
32768                  77.10
65536                 146.31
131072                279.34
262144                598.64
