1195941

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       3.04
2                       3.02
4                       2.88
8                       2.89
16                      3.28
32                      5.52
64                      5.58
128                     5.85
256                     5.91
512                     6.67
1024                    7.58
2048                    9.61
4096                   14.08
8192                   24.73
16384                  95.03
32768                  77.35
65536                 139.89
131072                267.29
262144                592.69
