
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.74
2                       4.06
4                       4.09
8                       4.33
16                      4.28
32                      4.07
64                      4.07
128                     4.22
256                     6.23
512                     6.31
1024                    6.46
2048                    6.78
4096                    7.04
8192                    6.44
16384                   8.41
32768                  15.61
65536                  27.89
131072                 41.94
262144                 70.20
