
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.79
2                       4.04
4                       4.04
8                       4.05
16                      4.02
32                      4.03
64                      4.04
128                     4.18
256                     6.20
512                     6.26
1024                    6.52
2048                    6.76
4096                    7.04
8192                    6.46
16384                   8.42
32768                  15.67
65536                  27.90
131072                 41.95
262144                 70.11
