
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.69
2                       4.07
4                       4.07
8                       4.06
16                      4.06
32                      4.08
64                      4.06
128                     4.22
256                     6.24
512                     6.30
1024                    6.49
2048                    6.83
4096                    7.08
8192                    6.45
16384                   8.45
32768                  15.67
65536                  27.94
131072                 41.99
262144                 70.21
