
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.08
2                       4.08
4                       4.06
8                       4.04
16                      4.06
32                      4.06
64                      4.07
128                     4.22
256                     6.23
512                     6.30
1024                    6.46
2048                    6.83
4096                    7.07
8192                    6.46
16384                   8.44
32768                  15.68
65536                  28.01
131072                 41.99
262144                 70.14
