114316

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      95.82
2                     111.23
4                     140.29
8                     179.81
16                    142.63
32                    157.35
64                    199.20
128                   148.31
256                   110.50
512                    93.31
1024                  143.62
2048                  136.31
4096                  177.06
8192                  145.41
16384                 122.98
32768                 375.62
65536                 389.55
131072                588.71
262144                880.70
