118223

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     117.13
2                     129.03
4                     152.82
8                     140.81
16                    131.39
32                    126.82
64                    151.82
128                   161.35
256                   170.72
512                   166.09
1024                  157.82
2048                  171.16
4096                  110.32
8192                  111.50
16384                 188.42
32768                 336.13
65536                 379.04
131072                499.21
262144                890.31
