119815

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     149.35
2                     160.00
4                     169.17
8                     142.73
16                    116.57
32                    108.99
64                    136.72
128                   160.27
256                   173.34
512                   251.73
1024                  206.69
2048                  196.70
4096                  207.97
8192                  211.34
16384                 190.63
32768                 382.61
65536                 425.97
131072                594.82
262144                790.64
