115747

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     153.45
2                     144.22
4                     116.55
8                     119.81
16                    112.78
32                    137.67
64                    152.82
128                   183.46
256                   193.62
512                   225.80
1024                  202.71
2048                  172.01
4096                  145.58
8192                  136.45
16384                 206.28
32768                 324.66
65536                 363.28
131072                561.73
262144                910.50
