118469

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     142.32
2                     142.56
4                     153.99
8                     155.84
16                    176.22
32                    163.83
64                    173.53
128                   169.74
256                   137.23
512                   173.68
1024                  192.57
2048                  214.86
4096                  209.42
8192                  173.81
16384                  67.59
32768                 322.55
65536                 389.19
131072                537.44
262144                893.23
