117719

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     104.60
2                     102.24
4                     138.41
8                     161.80
16                    166.01
32                    157.36
64                    155.27
128                   155.29
256                   149.70
512                   139.44
1024                  171.43
2048                  179.28
4096                  184.20
8192                  167.75
16384                 130.16
32768                 353.59
65536                 434.21
131072                603.73
262144                915.07
