115904

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     152.18
2                     130.30
4                     121.17
8                     162.74
16                    140.24
32                    126.39
64                    100.72
128                   120.08
256                   148.52
512                   207.73
1024                  207.62
2048                  217.25
4096                  183.55
8192                  140.78
16384                 136.15
32768                 351.18
65536                 401.91
131072                558.94
262144                929.82
